_publisher,papers,unique_journals,total_uncovered_usd,within_cap_papers,abovecap_papers
Springer Nature,2016,232,6496138.0,276,1740
Elsevier,2764,376,5021048.0,224,2540
Wiley,1379,182,1944660.0,75,1304
Wolters Kluwer,895,65,1519300.0,60,835
Oxford University Press (OUP),732,76,1117439.56,49,683
American Society for Clinical Investigation,361,2,886700.0,0,361
American Association for Cancer Research (AACR),164,10,777000.0,7,157
Proceedings of the National Academy of Sciences,223,1,667885.0,0,223
American Chemical Society (ACS),347,36,504500.0,10,337
American Association for the Advancement of Science (AAAS),165,1,404250.0,0,165
American Medical Association (AMA),162,11,322000.0,0,162
Society for Neuroscience,101,2,268350.0,0,101
Frontiers,301,33,264109.0,0,301
Rockefeller University Press,81,3,225000.0,6,75
SAGE Publications,188,48,166500.0,42,146
Taylor & Francis,147,49,139490.0,12,135
MDPI,305,34,135125.0,20,285
The Company of Biologists,65,5,122600.0,6,59
American Society of Hematology,41,2,122055.0,0,41
American Society for Microbiology,171,11,87700.0,97,74
BMJ,106,18,86991.5,4,102
American Society of Clinical Oncology (ASCO),35,5,62100.0,4,31
Cold Spring Harbor Laboratory,49,4,60980.0,0,49
Public Library of Science (PLoS),251,10,57767.0,162,89
Mary Ann Liebert,80,14,53000.0,7,73
American Academy of Pediatrics (AAP),28,2,42000.0,0,28
The Endocrine Society,37,3,32626.0,0,37
Thieme,68,4,30600.0,0,68
American Society for Cell Biology (ASCB),30,1,29850.0,0,30
Royal Society of Chemistry (RSC),29,10,20273.0,10,19
Cambridge University Press (CUP),41,6,17300.0,0,41
The Journal of Rheumatology,17,2,17000.0,0,17
Radiological Society of North America (RSNA),33,4,16500.0,0,33
Life Science Alliance,15,1,14625.0,0,15
IOP Publishing,36,3,12270.0,0,36
European Respiratory Society (ERS),13,2,10300.0,3,10
Impact Journals,22,2,10250.0,0,22
JMIR Publications,123,12,10000.0,91,32
Karger Publishers,9,3,7600.0,1,8
AIP Publishing,6,1,4800.0,0,6
Ivyspring International Publisher,13,2,4186.0,0,13
Health Affairs,3,1,2550.0,0,3
International Society of Global Health,4,1,2540.0,0,4
Bioscientifica,2,1,2126.0,0,2
American Physical Society (APS),2,1,1960.0,0,2
International Union of Crystallography (IUCr),7,2,1940.0,0,7
Ferrata Storti Foundation (Haematologica),3,1,1722.0,0,3
Optica Publishing Group,19,5,610.0,18,1
American Psychiatric Association Publishing,2,1,240.0,0,2
AME Publishing Company,11,2,0.0,11,0
ASME International,4,1,0.0,4,0
American Public Health Association,7,1,0.0,7,0
American Psychological Association (APA),149,23,0.0,149,0
American Diabetes Association,33,2,0.0,33,0
American Physiological Society,77,9,0.0,77,0
American Academy of Sleep Medicine (AASM),13,1,0.0,13,0
Alcohol Research Documentation,4,1,0.0,4,0
Acoustical Society of America (ASA),6,2,0.0,6,0
American Board of Family Medicine (ABFM),2,1,0.0,2,0
American Thoracic Society,129,3,0.0,129,0
American Speech Language Hearing Association,34,2,0.0,34,0
Annals of Family Medicine,2,1,0.0,2,0
Annual Reviews,6,1,0.0,6,0
Bio-Protocol,6,1,0.0,6,0
COPD Foundation,1,1,0.0,1,0
American Society of Neuroradiology (ASNR),5,1,0.0,5,0
American Society of Tropical Medicine and Hygiene,6,1,0.0,6,0
Institute of Electrical and Electronics Engineers (IEEE),34,6,0.0,34,0
Caltech Library,4,1,0.0,4,0
"Clinical Care Targeted Communications Group, LLC",1,1,0.0,1,0
Environmental Health Perspectives,4,1,0.0,4,0
Association for Research in Vision and Ophthalmology (ARVO),41,2,0.0,41,0
Association for Computing Machinery (ACM),9,1,0.0,9,0
MIT Press,22,4,0.0,22,0
Journal of Neurosurgery Publishing Group (JNSPG),9,1,0.0,9,0
Radiation Research Society,1,1,0.0,1,0
Portland Press,4,2,0.0,4,0
PeerJ,1,1,0.0,1,0
MyJove,15,1,0.0,15,0
"SPIE, the international society for optics and photonics",7,2,0.0,7,0
The Royal Society,2,2,0.0,2,0
Ubiquity Press,1,1,0.0,1,0
eLife,121,1,0.0,121,0
