_publisher,papers,unique_journals,total_uncovered_usd,within_cap_papers,abovecap_papers,waived_papers
Elsevier,458,201,2079175.0,0,458,0
Springer Nature,366,127,1535917.0,119,247,119
Wolters Kluwer,140,44,611145.0,9,131,9
Oxford University Press (OUP),132,46,587318.91,0,132,0
American Chemical Society (ACS),54,27,235935.0,1,53,0
American Association for Cancer Research (AACR),28,7,226550.0,0,28,0
American Society for Clinical Investigation,40,2,219200.0,0,40,0
MDPI,57,24,192500.0,0,57,0
Proceedings of the National Academy of Sciences,32,1,191840.0,0,32,0
American Medical Association (AMA),35,5,158000.0,0,35,0
Frontiers,34,16,132007.0,0,34,0
SAGE Publications,37,19,130300.0,0,37,0
Taylor & Francis,26,20,102270.0,0,26,0
Thieme,25,3,86250.0,0,25,0
American Psychological Association (APA),28,12,84000.0,0,28,0
American Association for the Advancement of Science (AAAS),15,1,81750.0,0,15,0
BMJ,21,10,78610.0,0,21,0
Public Library of Science (PLoS),25,7,72034.0,0,25,0
Society for Neuroscience,13,2,68610.0,0,13,0
American Society for Microbiology,17,7,59690.0,0,17,0
The Company of Biologists,10,4,50800.0,0,10,0
JMIR Publications,19,7,46140.0,0,19,0
American Society of Clinical Oncology (ASCO),8,3,40972.0,0,8,0
eLife,13,1,39000.0,0,13,0
American Society of Hematology,5,2,31035.0,0,5,0
American Academy of Pediatrics (AAP),6,2,27000.0,0,6,0
Mary Ann Liebert,7,5,26000.0,0,7,0
The Endocrine Society,6,3,22588.0,0,6,0
Royal Society of Chemistry (RSC),6,6,20335.0,1,5,0
American Speech Language Hearing Association,10,2,20000.0,0,10,0
American Society for Cell Biology (ASCB),5,1,19975.0,0,5,0
Rockefeller University Press,3,2,18000.0,0,3,0
American Diabetes Association,7,2,17500.0,0,7,0
American Thoracic Society,8,3,16000.0,0,8,0
Institute of Electrical and Electronics Engineers (IEEE),6,3,15870.0,0,6,0
Cambridge University Press (CUP),4,3,14200.0,0,4,0
Cold Spring Harbor Laboratory,3,2,14100.0,0,3,0
Radiological Society of North America (RSNA),4,2,14000.0,0,4,0
Optica Publishing Group,5,3,10895.0,0,5,0
MIT Press,6,4,10100.0,0,6,0
IOP Publishing,3,2,9050.0,0,3,0
AIP Publishing,2,1,7600.0,0,2,0
Journal of Neurosurgery Publishing Group (JNSPG),2,1,6000.0,0,2,0
Association for Research in Vision and Ophthalmology (ARVO),3,2,5750.0,0,3,0
AME Publishing Company,3,1,5040.0,0,3,0
"SPIE, the international society for optics and photonics",3,2,5025.0,0,3,0
American Physiological Society,10,6,4975.0,5,5,0
Wiley,223,100,4500.0,222,1,222
Bioscientifica,1,1,4063.0,0,1,0
Life Science Alliance,1,1,3975.0,0,1,0
Bio-Protocol,3,1,3600.0,0,3,0
Ferrata Storti Foundation (Haematologica),1,1,3574.0,0,1,0
Impact Journals,1,1,3200.0,0,1,0
ASME International,1,1,3000.0,0,1,0
American Physical Society (APS),1,1,2840.0,0,1,0
American Public Health Association,1,1,2500.0,0,1,0
COPD Foundation,1,1,2450.0,0,1,0
Radiation Research Society,1,1,2000.0,0,1,0
Ubiquity Press,1,1,1900.0,0,1,0
MyJove,1,1,1800.0,0,1,0
Association for Computing Machinery (ACM),1,1,350.0,0,1,0
Centers for Disease Control and Prevention (CDC),1,1,0.0,1,0,0
Environmental Health Perspectives,2,1,0.0,2,0,0
Unknown,42,36,0.0,42,0,42
