_publisher,papers,unique_journals,total_uncovered_usd,within_cap_papers,abovecap_papers
Springer Nature,356,100,1194417.0,49,307
Elsevier,390,147,781497.0,37,353
Wiley,169,70,241660.0,11,158
American Society for Clinical Investigation,90,2,230200.0,0,90
Wolters Kluwer,97,37,162770.0,9,88
Oxford University Press (OUP),101,37,160755.46,6,95
American Association for Cancer Research (AACR),25,6,134000.0,1,24
Proceedings of the National Academy of Sciences,42,1,125790.0,0,42
American Chemical Society (ACS),57,19,85500.0,0,57
American Association for the Advancement of Science (AAAS),16,1,39200.0,0,16
American Medical Association (AMA),23,4,35000.0,0,23
Frontiers,34,13,30789.5,0,34
Rockefeller University Press,9,1,27000.0,0,9
The Company of Biologists,13,4,26200.0,0,13
Taylor & Francis,24,14,20970.0,3,21
Society for Neuroscience,8,2,18420.0,0,8
MDPI,40,16,17125.0,3,37
SAGE Publications,28,16,15200.0,15,13
American Society for Microbiology,16,5,14300.0,5,11
American Society of Clinical Oncology (ASCO),5,2,12500.0,0,5
BMJ,17,6,12290.75,0,17
American Academy of Pediatrics (AAP),6,2,9000.0,0,6
Thieme,18,2,8100.0,0,18
Cold Spring Harbor Laboratory,5,2,6500.0,0,5
American Society for Cell Biology (ASCB),6,1,5970.0,0,6
Radiological Society of North America (RSNA),8,2,4000.0,0,8
Public Library of Science (PLoS),27,5,3976.0,14,13
American Society of Hematology,1,1,3600.0,0,1
AIP Publishing,4,1,3200.0,0,4
Mary Ann Liebert,5,3,3000.0,0,5
The Endocrine Society,4,2,2712.0,0,4
Life Science Alliance,2,1,1950.0,0,2
Cambridge University Press (CUP),2,2,1100.0,0,2
Royal Society of Chemistry (RSC),3,2,1067.0,2,1
Bioscientifica,1,1,1063.0,0,1
IOP Publishing,2,1,650.0,0,2
JMIR Publications,16,6,500.0,14,2
Impact Journals,2,1,400.0,0,2
AME Publishing Company,5,1,0.0,5,0
ASME International,1,1,0.0,1,0
American Diabetes Association,7,2,0.0,7,0
American Physiological Society,8,4,0.0,8,0
COPD Foundation,1,1,0.0,1,0
Bio-Protocol,2,1,0.0,2,0
Association for Computing Machinery (ACM),2,1,0.0,2,0
Association for Research in Vision and Ophthalmology (ARVO),6,2,0.0,6,0
American Thoracic Society,8,3,0.0,8,0
American Public Health Association,1,1,0.0,1,0
American Psychological Association (APA),19,7,0.0,19,0
American Speech Language Hearing Association,5,2,0.0,5,0
Optica Publishing Group,7,2,0.0,7,0
MyJove,2,1,0.0,2,0
Journal of Neurosurgery Publishing Group (JNSPG),3,1,0.0,3,0
MIT Press,5,3,0.0,5,0
Environmental Health Perspectives,2,1,0.0,2,0
Institute of Electrical and Electronics Engineers (IEEE),9,3,0.0,9,0
"SPIE, the international society for optics and photonics",4,1,0.0,4,0
eLife,17,1,0.0,17,0
